"Section","A","B","C","D","E"
"RUNS","Run","Mode","Passed","Failed","Verdict"
"","Run 1","3 workers, retries off","118","3","All 3 failures were HTTP 429 rate limiting"
"","Run 2","3 workers, retries off","116","5","Timeouts on search and navigation under load"
"","Run 3","3 workers, retries on","110","9","Local DNS stopped resolving mid-run"
"","FINAL","2 workers, retries off","121","0","Whole suite green with nothing hidden by retries"

"FAILURES","ID","Cause","Tests affected","Product broken?","Status"
"","F-01","Rate limiting (HTTP 429)","3 tests, 122 URLs","No","Fixed in this session"
"","F-02","Local DNS failure","9 tests","No","Environmental"
"","F-03","Session expired mid-run","up to 12 tests","No","Platform"
"","F-04","Contention under 3 workers","2-5 tests per run, never the same ones","No","Fixed in this session"

"FAILURE DETAIL","ID","What happened","Evidence","Why","Fix"
"","F-01","site-health reported 122 product pages as dead; search /search returned 429 instead of 404","""Aisle Trunk Check-in Luggage ... -> 429"", ""Expected: 404  Received: 429""","site-health sweeps all 186 catalogue pages, 6 at a time, using a plain request.get with no retry — while the rest of the suite is also hitting production. The origin throttles, and a 429 was counted as a dead page.","FIXED — site-health now uses getWithRetry (retries 429/502/503/504 with backoff) and its concurrency dropped from 6 to 4. The search route check retries past a 429 before asserting 404."
"","F-02","Every navigation failed to resolve the hostname partway through Run 3","net::ERR_NAME_NOT_RESOLVED  https://www.bytepe.com/  |  getaddrinfo ENOTFOUND www.bytepe.com","The test machine lost DNS resolution mid-run. Nothing to do with the site or the specs — connectivity checked immediately afterwards returned HTTP 200 in 0.43s.","No code change. Re-run when the network is stable. Worth knowing so a DNS blip is not misread as a site outage."
"","F-03","Login-gated specs fail immediately with ""Saved login session is unusable""","Saved login session is unusable — access_token expired 2026-08-06 06:29:17Z","The access token lasts about 15 minutes; the suite takes 3-4. If auth was done more than ~10 minutes before the run, the gated specs fail before their first assertion. This is the guard working as designed, not a defect.","No code change. Run npm run auth immediately before a gated run. The underlying 15-minute TTL is worth confirming with backend."
"","F-04","Clicks and navigations time out at 30s on controls that are plainly present","TimeoutError: locator.click: Timeout 30000ms exceeded  |  page.waitForURL: Timeout 30000ms","Three workers plus site-health's own sweep is more load than production answers comfortably. The specs pass in a smaller set — 103 passed with retries off when run without the gated ones.","FIXED — workers dropped from 3 to 2. Measured with retries off: 3 workers gave 118/3 and 116/5; 2 workers gave 121 passed, 0 failed. Costs about 45 seconds. Retries had been absorbing the difference, which meant a real regression would have looked like the usual noise."

"COVERAGE","Area","Tests","Result","",""
"","Smoke (homepage, core pages)","9","Pass","",""
"","Catalogue health (186 products)","4","Pass — 186/186 live","",""
"","Search + product search","9","Pass","",""
"","Product pricing / data-driven","8","Pass","",""
"","Cardless EMI + EMI plan config","38","Pass","",""
"","EMI tenure ladder","8","Pass","",""
"","Pincode (valid / invalid / pricing)","6","Pass","",""
"","Category browsing","9","Pass","",""
"","Cart + checkout flow","3","Pass","",""
"","Subscription end-to-end","2","Pass — mints a real order","",""
"","EMI store flow","1","Pass","",""
"","Coupons (valid / invalid)","2","Pass","",""
"","Account / addresses / orders","8","Pass","",""
"","Product video (API + rendering)","31","Skipped — no live video exists","",""
